Total Heating (kW)
936
838
904
838
644
614
548
614
420
452
452
420
290
324
290
354
484
452
612
806
870
806
742
774
774
548
452
484
580
548
484
388
356
322
258
194
66
32
32
66
64
130
130
290
388
386
452
452
452
548
612
774
612
742
1192
936
580
354
226
290
226
226
226
258
322
322
162
128
162
162
322
420
452
484
484
516
580
838
1386
1128
710
388
258
194
162
130
130
162
194
290
0
0
0
0
0
0
34
32
32
66
0
1096
1032
806
548
388
388
258
258
290
290
290
258
290
0
0
64
98
162
162
226
258
162
226
194
902
806
646
386
226
98
96
66
64
34
64
98
162
0
0
0
0
0
32
32
98
162
162
162
226
484
388
226
98
32
0
32
0
32
0
34
64
32
0
32
0
34
64
98
96
258
258
258
194
290
194
194
98
32
8
22
2
0
34
32
32
32
66
162
258
226
258
226
258
258
258
258
290
356
354
388
420
452
388
356
194
258
258
322
322
838
1418
1000
968
806
678
678
774
806
806
678
1000
1548
1418
902
614
516
258
356
322
290
356
354
484
290
290
452
548
580
612
614
644
646
870
936
1032
1452
1192
774
612
420
388
322
290
290
290
356
420
258
258
324
452
548
580
678
838
870
902
806
870
1290
1096
774
612
548
420
324
258
258
258
258
290
162
130
162
162
162
226
388
388
322
322
388
516
710
548
420
290
194
162
162
162
162
130
194
162
98
96
66
98
130
162
226
226
194
194
130
322
678
516
388
162
162
162
130
162
130
162
194
162
130
98
98
96
162
162
128
194
162
322
388
356
290
226
194
96
98
66
32
96
66
64
162
162
258
290
386
420
420
324
322
258
258
386
516
420
290
226
194
162
66
96
98
130
130
130
162
162
130
226
258
292
194
226
580
452
226
226
388
420
548
420
258
162
162
162
162
162
130
162
130
162
64
32
98
98
128
98
162
226
194
290
324
388
548
484
290
194
162
194
130
162
194
162
130
194
64
66
96
162
162
194
258
322
356
354
420
548
742
516
580
290
162
162
130
128
226
356
420
386
258
258
258
322
452
548
580
646
742
678
806
870
1194
1128
710
484
322
258
194
162
194
194
194
226
130
96
194
194
194
162
194
322
388
354
452
678
806
614
354
194
96
98
64
66
98
128
98
162
98
98
96
66
98
96
130
322
324
452
322
258
290
356
162
96
34
0
32
32
32
34
32
32
162
162
194
290
484
420
388
356
452
420
388
484
484
548
356
130
32
0
32
66
64
98
226
258
356
258
258
226
226
290
388
484
452
420
388
548
1000
742
614
420
290
194
162
258
130
162
162
194
162
258
226
324
322
516
516
580
614
742
710
742
1256
1096
548
388
98
226
226
194
162
98
162
290
66
194
130
64
162
258
324
386
388
420
420
484
774
646
484
258
130
98
194
98
98
226
0
194
194
162
98
130
226
194
162
226
194
226
194
484
678
548
290
32
162
226
130
64
226
162
66
194
162
0
162
34
194
98
96
162
194
0
226
258
388
388
290
130
194
0
66
96
0
0
0
324
32
0
0
0
194
98
0
194
0
258
66
162
194
32
162
0
0
0
0
226
0
0
194
34
0
226
66
130
258
0
226
290
646
420
354
356
162
420
290
0
0
258
0
0
258
0
226
0
324
322
420
452
388
452
452
388
356
420
452
612
1418
1194
838
516
580
548
548
710
420
742
580
548
838
420
1032
1000
1000
968
646
968
354
1322
1000
1194
1612
1580
1386
1032
870
774
646
612
452
678
742
902
354
904
516
966
1032
1032
1064
1128
1000
1032
1064
1226
1644
1548
1226
838
226
1000
548
388
644
324
612
742
420
646
194
1064
420
322
870
968
678
936
420
1032
1290
1516
678
226
710
356
340
312
334
364
372
380
382
382
372
358
352
348
372
382
388
382
374
364
354
322
258
232
218
232
268
234
232
244
256
274
296
284
246
238
240
232
220
214
214
218
222
226
236
250
246
286
264
246
258
308
344
354
352
358
362
364
372
376
386
396
412
430
440
440
442
444
444
442
444
436
444
408
378
364
404
426
444
470
468
480
502
504
524
530
554
566
582
598
586
542
556
516
480
414
354
322
262
278
252
252
258
276
274
298
326
360
552
610
676
716
730
748
750
758
774
782
782
782
780
754
754
754
760
754
776
798
812
806
812
850
876
890
904
914
896
876
860
848
840
780
668
566
574
290
194
420
290
290
96
580
32
258
258
0
484
354
290
870
386
966
612
934
1258
1128
484
484
258
128
290
128
128
322
128
162
226
0
226
226
0
322
354
354
386
354
516
966
742
612
516
386
96
162
128
96
128
96
162
64
194
0
226
0
194
0
194
354
452
386
386
354
420
322
0
194
0
0
194
0
194
0
194
0
258
226
420
258
322
258
258
290
290
322
258
290
290
258
194
0
0
0
194
0
0
0
162
0
0
0
258
0
226
226
0
226
290
258
322
386
580
742
644
420
258
0
194
0
194
0
0
162
64
0
0
96
96
128
32
0
226
0
226
258
484
128
322
258
0
162
0
0
226
0
0
96
0
0
162
32
0
0
226
0
194
0
258
194
290
354
290
290
0
194
0
130
0
0
0
96
0
0
0
0
32
96
0
98
0
98
130
32
258
258
226
162
194
32
64
0
98
0
98
0
96
0
0
130
34
130
32
96
194
194
162
258
452
324
194
98
162
0
98
0
130
0
0
162
0
64
32
0
98
0
162
0
130
130
194
226
226
162
130
0
130
0
0
96
0
0
0
98
0
0
194
420
130
128
134
126
126
128
136
148
148
136
132
128
124
122
120
118
116
118
128
140
150
162
244
264
270
274
276
276
276
280
284
290
298
294
238
162
142
128
116
110
106
94
100
128
150
156
166
174
184
190
196
202
212
226
236
230
216
182
130
122
128
112
102
96
88
84
86
96
118
138
148
148
134
154
162
160
168
174
188
200
196
162
124
134
122
108
100
96
90
98
106
128
140
148
154
162
166
172
184
196
206
210
238
256
270
252
226
200
188
178
164
156
152
134
144
162
170
186
240
262
268
276
284
288
292
292
292
304
308
310
310
294
274
264
264
266
280
268
262
264
268
274
272
264
258
256
250
254
234
194
168
154
146
132
114
98
82
70
62
56
60
68
74
86
100
106
114
120
118
114
114
114
112
112
128
136
142
118
108
108
130
130
124
122
116
118
120
124
140
166
182
194
194
196
200
204
188
158
168
162
154
142
112
112
90
62
44
36
36
34
36
48
62
72
88
100
118
124
130
138
140
140
144
148
154
124
82
80
76
70
62
56
48
46
58
70
84
102
116
116
122
128
134
144
150
162
164
178
212
174
148
134
116
100
80
74
68
52
0
98
0
32
0
0
0
0
0
130
0
32
0
64
0
0
0
0
0
66
0
0
162
0
0
0
0
0
0
0
0
0
0
0
32
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
