weather_description
10
1
1
1
1
1
10
1
1
10
1
1
10
1
1
20
1
1
20
20
20
20
1
1
20
50
50
40
50
50
50
50
80
80
80
80
50
10
10
20
1
1
20
1
1
1
1
1
1
1
1
1
10
10
20
50
50
40
20
20
10
1
1
20
1
1
20
10
10
20
1
1
1
1
1
20
50
50
40
50
50
50
20
20
50
80
80
40
80
80
50
90
90
50
10
10
50
20
20
40
20
20
50
50
50
50
50
50
50
50
50
50
20
20
50
20
20
40
1
1
40
1
1
50
1
1
50
50
50
50
50
50
50
10
10
50
50
50
50
80
80
50
80
80
80
80
80
80
80
80
80
80
80
80
80
80
80
80
80
80
80
80
80
110
80
80
80
80
80
80
80
80
80
80
80
80
80
80
80
80
80
20
20
50
80
80
80
80
10
80
80
80
80
80
80
80
80
80
80
80
80
50
80
80
50
10
10
50
110
110
80
110
110
80
110
110
80
110
110
80
110
110
50
110
110
50
110
110
80
110
110
80
110
110
110
110
110
80
0
0
80
110
110
50
110
110
50
80
80
80
80
80
50
80
10
50
20
20
50
20
20
50
40
40
50
50
50
50
50
50
50
50
50
50
40
40
50
20
20
50
20
20
50
80
80
50
80
80
40
50
50
40
50
50
50
50
50
50
50
50
50
50
50
50
50
50
50
10
10
50
10
10
50
80
80
50
80
80
50
80
80
50
80
80
50
80
80
50
80
80
40
80
80
50
10
10
50
50
50
50
20
20
50
20
10
40
10
10
50
10
10
40
20
20
40
20
20
50
20
20
50
50
50
40
50
50
40
50
50
40
20
20
40
10
10
50
50
50
50
10
10
40
10
10
50
10
10
40
40
40
50
50
50
40
80
80
40
80
80
50
10
10
50
20
20
50
10
10
40
50
50
40
20
20
40
80
80
50
10
10
50
10
10
50
50
50
40
80
80
40
80
80
10
10
1
1
1
1
1
10
10
40
40
20
20
20
20
50
20
20
40
10
10
10
10
10
1
1
1
1
50
50
40
50
50
20
50
50
20
50
50
20
50
50
40
40
40
20
20
20
40
20
20
40
10
20
40
50
50
50
20
20
50
80
80
50
10
10
80
10
10
50
10
10
80
80
80
50
80
80
50
80
80
50
80
80
50
50
50
50
50
50
50
20
20
50
10
10
50
10
10
50
10
10
50
10
10
50
50
50
50
50
50
50
50
50
50
50
50
50
50
50
50
50
50
50
10
10
50
10
10
50
50
50
50
20
20
50
10
10
40
50
50
40
40
20
20
20
10
10
1
1
10
10
10
1
10
20
20
50
40
40
40
40
40
40
10
1
1
10
1
1
1
20
40
40
40
50
50
50
50
50
40
20
20
1
1
1
50
50
50
50
50
50
50
50
50
50
50
50
50
50
50
50
50
50
50
50
50
40
10
10
10
1
1
1
1
1
1
20
20
20
20
20
20
20
20
20
20
20
40
40
40
20
10
10
50
40
20
20
10
10
10
20
20
1
1
1
10
10
1
1
1
20
40
50
50
50
50
50
50
20
20
50
50
50
50
50
50
50
10
10
50
50
50
50
80
80
50
80
80
50
20
20
50
50
50
50
50
50
50
50
50
50
50
50
50
20
20
50
50
50
50
50
50
50
50
50
50
20
20
50
20
20
50
10
10
50
50
50
50
50
50
50
50
50
50
50
50
50
50
50
50
50
50
50
80
80
50
80
80
50
80
80
50
80
80
50
80
80
50
10
10
50
10
10
50
20
20
50
20
20
40
20
20
20
50
50
10
20
20
10
10
10
20
1
1
10
1
1
50
1
1
20
10
10
20
10
10
10
10
20
20
20
20
10
1
1
1
1
1
20
20
40
20
1
1
50
50
50
50
20
20
50
50
50
50
20
80
80
80
80
80
80
80
80
80
80
80
80
80
80
80
80
80
10
10
50
10
10
50
20
20
50
20
20
50
10
10
50
20
20
50
10
10
50
50
50
50
50
50
50
80
80
50
80
80
50
80
80
50
50
50
50
10
10
50
10
10
50
50
50
50
50
50
50
50
40
20
20
10
10
