Total Mechanical (kW)
8
8
8
10
8
8
8
8
8
6
8
8
8
6
6
8
6
8
8
8
8
8
8
8
8
8
8
8
6
10
6
8
8
8
8
8
6
6
8
6
6
6
8
6
8
6
6
8
8
6
8
6
8
14
24
26
26
28
28
32
36
34
34
36
36
34
12
8
6
8
8
6
8
8
8
8
6
14
34
34
34
38
38
36
40
40
42
38
38
38
12
6
8
6
6
8
4
6
8
6
6
14
32
34
34
38
36
38
38
38
38
36
36
36
12
6
6
8
6
6
8
6
6
6
6
16
32
34
36
36
40
36
38
38
40
38
36
38
12
6
8
8
6
6
6
6
8
6
6
12
32
32
36
36
38
36
38
38
36
36
36
34
10
6
6
8
6
6
6
6
6
6
6
6
6
6
6
4
6
6
6
4
6
6
6
6
6
6
4
6
6
8
6
6
6
8
6
6
8
6
8
6
6
6
8
4
6
6
6
6
6
10
8
8
8
8
8
6
8
8
6
14
32
32
32
34
34
36
38
36
38
36
38
34
10
6
6
4
6
6
8
4
4
6
6
12
30
34
34
38
38
38
38
40
40
38
38
38
12
6
4
6
6
6
6
4
6
6
6
10
32
32
36
36
36
36
40
38
38
38
36
36
10
6
8
8
6
6
8
6
8
8
6
12
30
34
36
36
38
38
40
38
38
38
38
36
10
6
6
4
4
6
2
6
4
6
4
10
30
32
34
36
38
36
38
38
36
38
34
34
8
4
6
4
6
4
6
4
6
4
6
4
6
2
6
2
6
6
8
8
10
6
8
4
4
6
4
4
6
4
6
6
4
6
6
4
6
2
6
2
6
4
4
6
4
4
6
2
6
2
6
4
4
4
4
4
4
4
6
12
32
34
34
38
36
38
40
40
40
38
36
36
8
6
4
4
4
4
4
4
6
4
6
8
32
32
34
36
38
36
38
40
36
36
36
34
12
2
6
4
4
4
4
6
4
4
6
10
32
24
36
36
36
38
38
38
36
38
38
34
8
6
6
4
4
4
8
4
6
4
6
12
30
32
36
34
34
38
36
38
36
36
34
32
10
6
4
4
6
4
6
4
6
6
6
10
32
32
34
36
34
36
36
36
38
36
36
34
10
6
6
6
6
2
4
6
4
4
4
4
4
6
6
4
4
8
6
6
6
4
4
4
4
6
4
4
6
6
6
6
4
4
6
4
6
6
6
4
2
6
6
4
6
4
6
6
6
6
4
4
6
4
4
6
6
4
6
10
34
34
36
36
36
36
36
46
36
36
36
36
8
6
6
4
4
6
6
4
6
6
4
12
34
34
34
36
36
36
38
38
40
36
36
36
10
6
4
6
2
8
2
6
6
4
6
10
30
34
34
38
36
38
38
38
38
38
38
36
10
6
6
6
6
4
4
4
4
4
6
10
30
34
34
36
40
38
38
40
40
40
36
36
12
4
4
4
4
4
6
4
4
4
4
8
32
32
34
38
38
38
36
38
40
36
36
38
8
6
4
6
6
6
4
4
6
6
4
6
4
4
6
6
4
4
6
6
6
8
8
4
4
4
6
4
6
4
6
6
6
4
6
6
6
4
6
4
6
4
4
6
4
4
6
4
8
6
4
6
6
4
6
8
6
4
6
12
32
36
34
36
38
36
38
38
38
36
34
34
12
8
10
8
8
8
8
8
10
8
8
12
26
34
36
34
34
34
36
34
