Total Lighting (kW)
4
4
4
4
4
10
12
4
10
14
8
4
6
4
6
8
12
16
10
8
8
6
4
6
4
4
2
4
2
10
10
8
10
6
4
4
4
4
2
4
8
10
6
4
6
4
6
4
6
2
4
4
6
8
26
46
40
38
34
36
36
34
38
46
58
64
42
38
38
44
28
10
8
4
6
6
6
14
24
44
42
42
40
36
36
36
40
44
64
68
48
48
34
26
20
10
6
6
8
8
8
14
24
42
46
60
48
42
50
58
56
48
58
62
50
48
38
32
20
6
6
6
4
6
4
14
28
46
44
42
38
38
38
38
42
46
60
66
50
50
32
28
16
4
4
2
4
2
4
12
22
42
40
38
36
34
32
36
34
42
56
62
44
38
28
26
14
4
4
4
4
4
4
12
14
4
4
6
4
4
4
4
6
16
16
10
10
6
8
8
8
4
8
8
6
6
6
10
12
8
4
6
8
6
4
6
8
10
16
10
12
10
10
8
8
8
10
10
14
14
8
14
20
22
28
22
24
26
24
26
30
46
52
56
44
46
38
28
14
4
4
2
6
4
6
16
24
44
40
40
38
34
36
36
36
44
62
62
38
34
32
24
16
6
4
4
4
4
4
14
24
40
52
46
42
36
34
32
32
42
56
66
48
46
38
32
20
10
8
8
6
4
4
14
26
46
50
40
36
36
30
34
34
40
54
64
52
48
30
32
22
12
6
6
4
4
4
10
20
38
40
38
34
32
34
30
32
36
54
60
46
46
38
24
16
12
8
6
6
6
8
14
16
10
6
6
6
8
8
16
14
10
12
20
16
10
8
8
8
6
4
6
6
6
6
12
14
6
6
8
10
6
8
12
6
12
8
12
8
6
4
6
6
6
6
4
4
4
4
12
30
50
52
50
50
46
40
42
44
48
60
66
48
50
38
28
18
8
4
6
4
4
2
10
26
34
38
42
36
38
40
52
50
52
60
66
44
40
34
30
20
4
6
4
4
4
4
14
28
32
52
46
38
44
46
48
64
70
66
66
56
50
26
10
8
8
4
8
6
8
12
16
24
38
40
40
38
34
36
34
32
44
58
64
52
44
36
26
22
8
4
4
4
4
4
10
22
36
44
40
38
38
34
34
32
38
42
46
38
36
32
36
20
8
4
4
6
4
4
10
12
8
6
4
4
4
4
4
6
10
10
16
14
10
12
8
10
8
6
8
6
6
6
10
12
8
6
4
6
4
6
8
12
18
14
16
16
18
16
8
6
6
6
6
6
4
6
12
24
44
52
58
58
36
44
50
50
50
56
60
50
44
36
28
14
8
6
4
6
2
8
8
22
46
52
52
54
48
48
54
56
58
58
62
52
48
28
30
20
6
6
4
4
6
4
8
22
38
48
40
36
34
30
32
32
38
52
62
42
50
44
34
20
6
6
6
4
4
6
4
20
36
40
38
34
34
30
36
38
42
54
60
48
44
30
24
16
8
4
4
4
4
4
6
22
36
40
42
38
32
30
32
32
40
50
58
38
36
28
18
8
6
4
4
2
4
2
6
6
6
4
4
4
4
2
2
6
2
10
10
10
8
8
2
2
4
2
6
2
4
4
4
6
4
2
6
6
6
6
6
4
8
10
6
10
8
8
4
2
4
4
4
2
4
6
6
24
42
62
68
68
60
60
54
60
62
62
60
36
32
28
16
4
4
4
4
4
4
6
8
18
28
28
30
30
28
30
28
30
36
46
50
40
36
26
18
14
8
6
6
6
6
8
8
24
32
36
38
32
28
26
26
30
32
42
56
44
44
34
34
16
6
2
4
6
8
10
6
22
36
46
46
48
46
38
42
